商品管理番号（商品URL）,商品番号,商品名,在庫表示,キャッチコピー,PC用商品説明文,スマートフォン用商品説明文,PC用販売説明文,商品画像タイプ1,商品画像パス1,商品画像名（ALT）1,商品画像タイプ2,商品画像パス2,商品画像名（ALT）2,商品画像タイプ3,商品画像パス3,商品画像名（ALT）3,商品画像タイプ4,商品画像パス4,商品画像名（ALT）4,商品画像タイプ5,商品画像パス5,商品画像名（ALT）5,商品画像タイプ6,商品画像パス6,商品画像名（ALT）6,商品画像タイプ7,商品画像パス7,商品画像名（ALT）7,商品画像タイプ8,商品画像パス8,商品画像名（ALT）8,商品画像タイプ9,商品画像パス9,商品画像名（ALT）9,商品画像タイプ10,商品画像パス10,商品画像名（ALT）10,商品画像タイプ11,商品画像パス11,商品画像名（ALT）11,商品画像タイプ12,商品画像パス12,商品画像名（ALT）12,商品画像タイプ13,商品画像パス13,商品画像名（ALT）13,商品画像タイプ14,商品画像パス14,商品画像名（ALT）14,商品画像タイプ15,商品画像パス15,商品画像名（ALT）15,商品画像タイプ16,商品画像パス16,商品画像名（ALT）16,商品画像タイプ17,商品画像パス17,商品画像名（ALT）17,商品画像タイプ18,商品画像パス18,商品画像名（ALT）18,商品画像タイプ19,商品画像パス19,商品画像名（ALT）19,商品画像タイプ20,商品画像パス20,商品画像名（ALT）20,動画,白背景画像タイプ,白背景画像パス,バリエーション項目キー定義,バリエーション項目名定義,バリエーション1選択肢定義,バリエーション2選択肢定義,バリエーション3選択肢定義,バリエーション4選択肢定義,バリエーション5選択肢定義,バリエーション6選択肢定義,選択肢タイプ,商品オプション項目名,商品オプション選択肢1,商品オプション選択肢2,商品オプション選択肢3,商品オプション選択肢4,商品オプション選択肢5,商品オプション選択肢6,商品オプション選択肢7,商品オプション選択肢8,商品オプション選択肢9,商品オプション選択肢10,商品オプション選択肢11,商品オプション選択肢12,商品オプション選択肢13,商品オプション選択肢14,商品オプション選択肢15,商品オプション選択肢16,商品オプション選択肢17,商品オプション選択肢18,商品オプション選択肢19,商品オプション選択肢20,商品オプション選択肢21,商品オプション選択肢22,商品オプション選択肢23,商品オプション選択肢24,商品オプション選択肢25,商品オプション選択肢26,商品オプション選択肢27,商品オプション選択肢28,商品オプション選択肢29,商品オプション選択肢30,商品オプション選択肢31,商品オプション選択肢32,商品オプション選択肢33,商品オプション選択肢34,商品オプション選択肢35,商品オプション選択肢36,商品オプション選択肢37,商品オプション選択肢38,商品オプション選択肢39,商品オプション選択肢40,商品オプション選択肢41,商品オプション選択肢42,商品オプション選択肢43,商品オプション選択肢44,商品オプション選択肢45,商品オプション選択肢46,商品オプション選択肢47,商品オプション選択肢48,商品オプション選択肢49,商品オプション選択肢50,商品オプション選択肢51,商品オプション選択肢52,商品オプション選択肢53,商品オプション選択肢54,商品オプション選択肢55,商品オプション選択肢56,商品オプション選択肢57,商品オプション選択肢58,商品オプション選択肢59,商品オプション選択肢60,商品オプション選択肢61,商品オプション選択肢62,商品オプション選択肢63,商品オプション選択肢64,商品オプション選択肢65,商品オプション選択肢66,商品オプション選択肢67,商品オプション選択肢68,商品オプション選択肢69,商品オプション選択肢70,商品オプション選択肢71,商品オプション選択肢72,商品オプション選択肢73,商品オプション選択肢74,商品オプション選択肢75,商品オプション選択肢76,商品オプション選択肢77,商品オプション選択肢78,商品オプション選択肢79,商品オプション選択肢80,商品オプション選択肢81,商品オプション選択肢82,商品オプション選択肢83,商品オプション選択肢84,商品オプション選択肢85,商品オプション選択肢86,商品オプション選択肢87,商品オプション選択肢88,商品オプション選択肢89,商品オプション選択肢90,商品オプション選択肢91,商品オプション選択肢92,商品オプション選択肢93,商品オプション選択肢94,商品オプション選択肢95,商品オプション選択肢96,商品オプション選択肢97,商品オプション選択肢98,商品オプション選択肢99,商品オプション選択肢100,商品オプション選択必須,SKU管理番号,システム連携用SKU番号,バリエーション項目キー1,バリエーション項目選択肢1,バリエーション項目キー2,バリエーション項目選択肢2,バリエーション項目キー3,バリエーション項目選択肢3,バリエーション項目キー4,バリエーション項目選択肢4,バリエーション項目キー5,バリエーション項目選択肢5,バリエーション項目キー6,バリエーション項目選択肢6,在庫数,在庫戻しフラグ,在庫切れ時の注文受付,SKU画像タイプ,SKU画像パス,SKU画像名（ALT）
"yf-1112","YF-1112","犬の服 秋冬  Dカン付き キルティング ベスト 背中開き 犬 服 チェック柄 あったか 静電気防止 防寒着 軽量 小型犬 子犬 猫服 ドッグウェア 着せやすい","0","秋冬トレンド！くまワッペンが可愛い、お散歩ベスト","<!-- ビーノ：スペック -->
<table cellspacing=""1"" cellpadding=""8"" border=""0"" bgcolor=""#bfb7b5""><tr><th bgcolor=""#F3F3F3"" width=""25%""><b>サイズ選びのポイント</b></th><td bgcolor=""#FFFFFF"">※計測：ワンちゃんのサイズを必ずご確認ください。<br />
※絶対条件：必ず愛犬の胴回りを超えるサイズを選んでください。<br />
※見た目：胴回りを超えた上で着丈に合わせる事が大事です。<br />
※秋冬向き：厚みのある洋服はワンちゃんのヌードサイズよりもゆとりをもってお選びください。</td></tr><tr><th bgcolor=""#F3F3F3"" ><b>注意事項</b></th><td bgcolor=""#FFFFFF"">■商品規格や洋服デザイン・仕様などで若干サイズが前後いたしますことをご了承くださいませ。<br /> ■サイズ表の表示から±2〜3cmまでの誤差が生じる場合がございいますので、予めご了承ください。<br /> ■生地の特性上、やや匂いが感じられるものもございます。数日のご使用や陰干しなどで気になる匂いはほとんど感じられなくなります。<br /> ■同じ商品でも生産時期により形やサイズ、カラーに多少の誤差が生じる場合もございます。<br />■海外輸入商品の為日本製品と異なり、多少の汚れ、縫製の甘い部分、糸の多少のほつれ、形のゆがみ、色むら等ある場合がございます。<br />
■恐れ入りますが当店では商品発送後の返品はお受け出来ません。あらかじめご了承下さい。<br />
■当店の営業日は平日となっております。<br />■30％以上の割引商品につきましては、交換対応はいたしかねます。<br />■30％以上の割引商品につきましては、交換対応はいたしかねます。<br />
■商品の撮影には最大限注意を払っておりますが、閲覧時のモニター環境によりましては実際の商品と若干違うお色味に映ることもございます。</td></tr><tr><th bgcolor=""#F3F3F3"" ><b>関連キーワード</b></th><td bgcolor=""#FFFFFF"">楽天 おすすめ ドッグウェア おしゃれ ペット服 ペットグッズ ペット用品 かわいい 小型犬 中型犬 わんちゃん ワンちゃん 猫服 ネコ カジュアル 軽量 脱着簡単 お散歩 お出かけ お揃い ペットベッド 贈り物 お祝い シーズー ダックス トイプードル 柴犬 チワワ パグ ポメラニアン ヨークシャーテリア マルチーズ ボストンテリア犬 冬服 暖かい</td></tr><tr><th bgcolor=""#F3F3F3"" ><b>お問い合わせ</b></th><td bgcolor=""#FFFFFF"">少人数で運営のため、電話対応できない場合がございますので、なるべくお問い合わせフォームからお問い合わせ下さいませ。<br />
『購入履歴→詳細→ショップへ関する問い合わせ』</td></tr><tr><th bgcolor=""#F3F3F3"" ><b>返品・交換</b></th><td bgcolor=""#FFFFFF"">
■未使用であれば、サイズ交換は可能です、大変恐縮ですが、返送分と再送分の送料をご負担頂きたく存じます。<br />
----交換について----<br />
■商品到着後、3日以内にご連絡ください。  <br />
■汚れ・タグや付属品の欠品などがある場合は受け付けできません。 <br />
■事前にご連絡がない交換はお受けできません。必ず事前にメールでご連絡ください。<br />
■交換に掛かります費用は全てお客様負担です。 <br />
■返送時は「宅配便」等の配送番号が分かる方法で配送してください。<br />
■交換商品の在庫が当店、メーカーで完売している場合はサイズ交換ができません。ご了承ください。</td></tr></table>
<!-- ビーノ：スペック終了 -->","<!-- ビーノ：商品説明 -->
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-1.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-2.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-3.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-4.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-5.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-6.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-7.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-8.jpg""width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-9.jpg""width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-999.jpg"" width=""100%""><br>
<!-- ビーノ：商品説明終了 -->


<!-- ビーノ：スペック -->
<table cellspacing=""1"" cellpadding=""8"" border=""0"" bgcolor=""#bfb7b5""><tr><th bgcolor=""#F3F3F3"" width=""25%""><b>サイズ選びのポイント</b></th><td bgcolor=""#FFFFFF"">※計測：ワンちゃんのサイズを必ずご確認ください。<br />
※絶対条件：必ず愛犬の胴回りを超えるサイズを選んでください。<br />
※見た目：胴回りを超えた上で着丈に合わせる事が大事です。<br />
※秋冬向き：厚みのある洋服はワンちゃんのヌードサイズよりもゆとりをもってお選びください。</td></tr><tr><th bgcolor=""#F3F3F3"" ><b>注意事項</b></th><td bgcolor=""#FFFFFF"">■商品規格や洋服デザイン・仕様などで若干サイズが前後いたしますことをご了承くださいませ。<br /> ■サイズ表の表示から±2〜3cmまでの誤差が生じる場合がございいますので、予めご了承ください。<br /> ■生地の特性上、やや匂いが感じられるものもございます。数日のご使用や陰干しなどで気になる匂いはほとんど感じられなくなります。<br /> ■同じ商品でも生産時期により形やサイズ、カラーに多少の誤差が生じる場合もございます。<br />■海外輸入商品の為日本製品と異なり、多少の汚れ、縫製の甘い部分、糸の多少のほつれ、形のゆがみ、色むら等ある場合がございます。<br />
■恐れ入りますが当店では商品発送後の返品はお受け出来ません。あらかじめご了承下さい。<br />
■当店の営業日は平日となっております。<br />■30％以上の割引商品につきましては、交換対応はいたしかねます。<br />
■商品の撮影には最大限注意を払っておりますが、閲覧時のモニター環境によりましては実際の商品と若干違うお色味に映ることもございます。</td></tr><tr><th bgcolor=""#F3F3F3"" ><b>関連キーワード</b></th><td bgcolor=""#FFFFFF"">楽天 おすすめ ドッグウェア おしゃれ ペット服 ペットグッズ ペット用品 かわいい 小型犬 中型犬 わんちゃん ワンちゃん 猫服 ネコ カジュアル 軽量 脱着簡単 お散歩 お出かけ お揃い ペットベッド 贈り物 お祝い シーズー ダックス トイプードル 柴犬 チワワ パグ ポメラニアン ヨークシャーテリア マルチーズ ボストンテリア犬 冬服 暖かい</td></tr><tr><th bgcolor=""#F3F3F3"" ><b>お問い合わせ</b></th><td bgcolor=""#FFFFFF"">少人数で運営のため、電話対応できない場合がございますので、なるべくお問い合わせフォームからお問い合わせ下さいませ。<br />
『購入履歴→詳細→ショップへ関する問い合わせ』</td></tr><tr><th bgcolor=""#F3F3F3"" ><b>返品・交換</b></th><td bgcolor=""#FFFFFF"">
■未使用であれば、サイズ交換は可能です、大変恐縮ですが、返送分と再送分の送料をご負担頂きたく存じます。<br />
----交換について----<br />
■商品到着後、3日以内にご連絡ください。  <br />
■汚れ・タグや付属品の欠品などがある場合は受け付けできません。 <br />
■事前にご連絡がない交換はお受けできません。必ず事前にメールでご連絡ください。<br />
■交換に掛かります費用は全てお客様負担です。 <br />
■返送時は「宅配便」等の配送番号が分かる方法で配送してください。<br />
■交換商品の在庫が当店、メーカーで完売している場合はサイズ交換ができません。ご了承ください。</td></tr></table>
<!-- ビーノ：スペック終了 -->","<!-- ビーノ：商品説明 -->
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-1.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-2.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-3.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-4.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-5.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-6.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-7.jpg"" width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-8.jpg""width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-9.jpg""width=""100%""><br>
<img src=""https://image.rakuten.co.jp/coucou-doma/cabinet/yf11/yf1112-999.jpg"" width=""100%""><br>
<!-- ビーノ：商品説明終了 -->","CABINET","/yf11/yf1112-1.jpg","犬服ロリータワンピースお嬢様レースリボンフリルドッグウェアコスチューム可愛いかわいいお洒落原宿系散歩おしゃれ女の子【2023年秋冬新作】","CABINET","/yf11/yf1112-2.jpg","犬服ロリータワンピースお嬢様レースリボンフリルドッグウェアコスチューム可愛いかわいいお洒落原宿系散歩おしゃれ女の子【2023年秋冬新作】","CABINET","/yf11/yf1112-3.jpg","犬服ロリータワンピースお嬢様レースリボンフリルドッグウェアコスチューム可愛いかわいいお洒落原宿系散歩おしゃれ女の子【2023年秋冬新作】","CABINET","/yf11/yf1112-4.jpg","犬服ロリータワンピースお嬢様レースリボンフリルドッグウェアコスチューム可愛いかわいいお洒落原宿系散歩おしゃれ女の子【2023年秋冬新作】","CABINET","/yf11/yf1112-5.jpg","犬服ロリータワンピースお嬢様レースリボンフリルドッグウェアコスチューム可愛いかわいいお洒落原宿系散歩おしゃれ女の子【2023年秋冬新作】","CABINET","/yf11/yf1112-6.jpg","犬服ロリータワンピースお嬢様レースリボンフリルドッグウェアコスチューム可愛いかわいいお洒落原宿系散歩おしゃれ女の子【2023年秋冬新作】","CABINET","/yf11/yf1112-7.jpg","犬服ロリータワンピースお嬢様レースリボンフリルドッグウェアコスチューム可愛いかわいいお洒落原宿系散歩おしゃれ女の子【2023年秋冬新作】","CABINET","/yf11/yf1112-8.jpg","犬服ロリータワンピースお嬢様レースリボンフリルドッグウェアコスチューム可愛いかわいいお洒落原宿系散歩おしゃれ女の子【2023年秋冬新作】","CABINET","/yf11/yf1112-9.jpg","犬服ロリータワンピースお嬢様レースリボンフリルドッグウェアコスチューム可愛いかわいいお洒落原宿系散歩おしゃれ女の子【2023年秋冬新作】","CABINET","/yf11/yf1112-999.jpg","犬服ロリータワンピースお嬢様レースリボンフリルドッグウェアコスチューム可愛いかわいいお洒落原宿系散歩おしゃれ女の子【2023年秋冬新作】","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CABINET","/yf11/yf1112-1.jpg","key-1|key-2","サイズ|カラー","S(胸囲:32cm/着丈:20cm)|M(胸囲:37cm/着丈:25cm)|L(胸囲:42cm/着丈:30cm)|XL(胸囲:47cm/着丈:35cm)|2XL(胸囲:52cm/着丈:40cm)","ピンク|ブルー","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yf-1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","r-sku00000001","YF-1112SPK","key-1","S(胸囲:32cm/着丈:20cm)","key-2","ピンク","","","","","","","","","9","0","0","CABINET","/yf11/yf1112-7.jpg",""
"yf-1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","r-sku00000002","YF-1112SBL","key-1","S(胸囲:32cm/着丈:20cm)","key-2","ブルー","","","","","","","","","11","0","0","CABINET","/yf11/yf1112-3.jpg",""
"yf-1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","r-sku00000003","YF-1112MPK","key-1","M(胸囲:37cm/着丈:25cm)","key-2","ピンク","","","","","","","","","1","0","0","CABINET","/yf11/yf1112-7.jpg",""
"yf-1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","r-sku00000004","YF-1112MBL","key-1","M(胸囲:37cm/着丈:25cm)","key-2","ブルー","","","","","","","","","14","0","0","CABINET","/yf11/yf1112-3.jpg",""
"yf-1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","r-sku00000005","YF-1112LPK","key-1","L(胸囲:42cm/着丈:30cm)","key-2","ピンク","","","","","","","","","0","0","0","CABINET","/yf11/yf1112-7.jpg",""
"yf-1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","r-sku00000006","YF-1112LBL","key-1","L(胸囲:42cm/着丈:30cm)","key-2","ブルー","","","","","","","","","1","0","0","CABINET","/yf11/yf1112-3.jpg",""
"yf-1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","r-sku00000007","YF-1112XLPK","key-1","XL(胸囲:47cm/着丈:35cm)","key-2","ピンク","","","","","","","","","9","0","0","CABINET","/yf11/yf1112-7.jpg",""
"yf-1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","r-sku00000008","YF-1112XLBL","key-1","XL(胸囲:47cm/着丈:35cm)","key-2","ブルー","","","","","","","","","9","0","0","CABINET","/yf11/yf1112-3.jpg",""
"yf-1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","r-sku00000009","YF-11122XLPK","key-1","2XL(胸囲:52cm/着丈:40cm)","key-2","ピンク","","","","","","","","","9","0","0","CABINET","/yf11/yf1112-7.jpg",""
"yf-1112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","r-sku00000010","YF-11122XLBL","key-1","2XL(胸囲:52cm/着丈:40cm)","key-2","ブルー","","","","","","","","","7","0","0","CABINET","/yf11/yf1112-3.jpg",""
